dataset,model,architecture,seed,observed_fraction,data_source,num_trajectories,num_classes,seq_len,pred_len,macro_rmse,macro_mae,elapsed_seconds,device,result_file
ECGFiveDays,DLinear,tslibrary_dlinear_class_conditioned_prefix_windows,42,0.8,clean-ucr,23,2,54,28,0.5361066536048843,0.46398276426820406,0.3239715099334717,cpu,out\tslibrary_neural_forecasting_10datasets_5seeds\results\DLinear_ECGFiveDays_seed42.json
FreezerSmallTrain,DLinear,tslibrary_dlinear_class_conditioned_prefix_windows,42,0.8,clean-ucr,28,2,96,61,0.9992359298090515,0.8260690477334319,1.2586188316345215,cpu,out\tslibrary_neural_forecasting_10datasets_5seeds\results\DLinear_FreezerSmallTrain_seed42.json
HouseTwenty,DLinear,tslibrary_dlinear_class_conditioned_prefix_windows,42,0.8,clean-ucr,40,2,96,400,582.1145482804778,503.69016569134726,8.526569604873657,cpu,out\tslibrary_neural_forecasting_10datasets_5seeds\results\DLinear_HouseTwenty_seed42.json
InsectEPGRegularTrain,DLinear,tslibrary_dlinear_class_conditioned_prefix_windows,42,0.8,clean-ucr,62,3,96,121,0.031406520419188504,0.027608116000123233,11.963183164596558,cpu,out\tslibrary_neural_forecasting_10datasets_5seeds\results\DLinear_InsectEPGRegularTrain_seed42.json
ItalyPowerDemand,DLinear,tslibrary_dlinear_class_conditioned_prefix_windows,42,0.8,clean-ucr,67,2,9,5,0.9523859208384788,0.8074954650666182,0.610529899597168,cpu,out\tslibrary_neural_forecasting_10datasets_5seeds\results\DLinear_ItalyPowerDemand_seed42.json
Lightning7,DLinear,tslibrary_dlinear_class_conditioned_prefix_windows,42,0.8,clean-ucr,70,7,96,64,1.3745359283628782,1.1973697206892548,3.9599215984344482,cpu,out\tslibrary_neural_forecasting_10datasets_5seeds\results\DLinear_Lightning7_seed42.json
MoteStrain,DLinear,tslibrary_dlinear_class_conditioned_prefix_windows,42,0.8,clean-ucr,20,2,33,17,0.9454334473568988,0.7137971745200775,0.2875247001647949,cpu,out\tslibrary_neural_forecasting_10datasets_5seeds\results\DLinear_MoteStrain_seed42.json
PowerCons,DLinear,tslibrary_dlinear_class_conditioned_prefix_windows,42,0.8,clean-ucr,180,2,57,29,1.0856674822069075,0.8777512414478162,5.904475927352905,cpu,out\tslibrary_neural_forecasting_10datasets_5seeds\results\DLinear_PowerCons_seed42.json
PronunciationAudio,DLinear,tslibrary_dlinear_class_conditioned_prefix_windows,42,0.8,clean-pronunciation-audio,16,2,40,20,0.09906949927037426,0.09307205548389895,2.238884687423706,cpu,out\tslibrary_neural_forecasting_10datasets_5seeds\results\DLinear_PronunciationAudio_seed42.json
SonyAIBORobotSurface2,DLinear,tslibrary_dlinear_class_conditioned_prefix_windows,42,0.8,clean-ucr,27,2,26,13,1.241291154097691,0.9986432692395947,0.2032468318939209,cpu,out\tslibrary_neural_forecasting_10datasets_5seeds\results\DLinear_SonyAIBORobotSurface2_seed42.json
